TCode,TCode Description
RECAINCPAYCRITSEQ,Maintain - Seq. Eval. Crit. Inc. Pmt
RECAINCPAYVALALLOC,Maintain - Value Assgmt Inc. Payment
RECAKEY,Conversion of RE Key Fields
RECALA,Analyze Logs
RECALA_USER,Analyze Own Logs
RECALD,Delete Logs
RECALN,Number Range Maint: RECALOG
RECALP,Param. for Log Overview (Internal)
RECAMEASPOINTCAT,Maintain - Measuring Point Category
RECAPAYSPECGLPROC,Maintain - Payer Spec. G/L Processes
RECAPICCUST,System Settings: Background Graphic
RECARECURNO,Recurring Appointment Number Range
RECARESPGROUP,Maintain Groups Responsible
RECARG,Worklist: Update Objects
RECARS,Process Dates for All Objects
RECARSBD,Process Dates for Usage Objects
RECARSCN,Process Dates for Contracts
RECARSGEN,Generate Reminder Dates
RECARSGENBD,Generate Dates for Usage Objects
RECARSGENCN,Generate Dates for Contracts
RECASHOWIMG,Display IMG
RECASTATOBJ,Possible Status Activ. per Obj.Type
RECATM,Manage Text Modules
RECATMCLIENTCOPY,Client Copy Text Modules
RECATRACE,Set Trace Options
RECATRACERTBADI,Display Runtime Information
RECAWBLIST,Overview Lists per Object Type
RECAWBNAVTOOL,Navigation Tools in Navigator
RECAWBREQTOOL,Tools for RE Workbench Requests
RECAWBTYPE,Object Types in the Workbench
RECAYA,Interface Implementation
RECAYB,Reasons for Registration
RECAYC,Object Statuses
RECAZR,Retention Periods
RECA_ADJUST_VAL,RE-FX LCC Recon. Valuation Cash Flow
RECA_LCC_ANALYZE_VAL,RE-FX: Check Curr. Conver. Valuation
RECA_SNUM_IMKEY,Number Range FVVI_IMKEY
RECA_SNUM_INTRENO,Number Range FVVI_IMK30
RECDCA,Internal Calculation Rules
RECDCB,External Calculation Rules
RECDCC,Internal Distribution Rules
RECDCD,External Distribution Rules
RECDCE,Internal Condition Purpose
RECDCF,External Condition Purpose
RECDCFCMP,Cash Flow Comparison & Simulation
RECDCG,Cash Flow Update for Contract
RECDCGOL,Cash Flow Update for Contract
RECDCGOLACT,Activate CF Update Contract w/o LD
RECDCH,Update Cash Flow for Rental Object
RECDCHGREAS,Maintenance - Change Reasons
RECDCOAJ,Adjustment Rules for Conditions
RECDCOND,Maintain Condition Types
RECDCONDGROUP,Maintain Condition Groups
RECDCONDGROUPCOND,"Maintain Cond. Groups, Assignment"
RECDCONDGROUPREL,Maint. - Condition Types -> Groups
RECDDC01,Derivation Tool:Maintain Transaction
RECDDC02,Derivation Tool: Rule Values
RECDDD,Due Date Correction Rule
RECDFIXPER,Maintenance - Fixed Periods
RECDFIXPERDATE,Maintenance- Periods of Fixed Period
RECDFLOWRELFLOW,Maintain Reference Flow Type
RECDFLOWTYPE,Maintain Flow Types
RECDFLOWTYPEREL,Maintain Flow Type Relationships
RECDIFRS,IFRS: Valuation of Contracts
RECDZY,Maintenance-Conditions-View Cluster
RECDZZ,Test - Conditions
RECEASCLEARRECON,Asset Clearing Reconciliation
RECEASSETDEACT,Deactivate Leased Assets
RECEASSETDEACTRV,Deactivate Leased Assets: Reversal
RECEASSETRECALC,Update Depreciation Values
RECECN,Edit Contract Valuation
RECECUST,Display IMG Lease Contracts
RECEEP,Post Valuation for Contracts
RECEEPRV,Cancel Valuation for Contracts
RECEEPRV_SINGLE,Reverse Valuation for a Contract
RECEEP_SINGLE,Post Valuation for a Contract
RECEISASSETCN,Info System: Assets for Contracts
RECEISBALANCE,Display Valuation Balances
RECEISCHGDOCCN,Valuation-Relevant Change Documents
RECEISCONDRULECN,Condition-Specific Valuation Rules
RECEISLIABGRAD,Liabilities Grading
RECEISRECLASSIFY,Info System: Reclassification
RECEISRULECN,Information System: Valuation Rules
RECEPR,Perform Contract Valuation
RECEPRRV,Reverse Contract Valuation
RECESH,Display Contract Valuation
RECN,Process Contract
RECNAA,Contract Type Field Modification
RECNAB,Contract Type
RECNAD,ObjTypes Permitted For Contract Type
RECNAR,Archive Real Estate Contracts
RECNARE,Display RE Contracts (Archive)
RECNCFAR,Archive Cash Flow of Contracts
RECNCFARE,Display Contract Cash Flow (Archive)
RECNCHECK,Mass Check: Contracts
RECNCUST,"Display ""Contract Types"" RE-FX IMG"
RECNDPMETHOD,Form of Security Deposit
RECNRP,Change Pers.Resp: Contracts
RECNZA,Notice Reasons
RECNZB,Reasons for Rejection
RECON1,Process Ext. Sec. Acct Statements
RECON2,Reconcile Ext. Sec. Acct Statements
RECON3,Delete Ext. Security Acct Statements
RECON4,Manage Ext. Sec. Acct Statements
RECON5,Reconcile Ext. Sec. Acct Statements
RECON6,Delete Ext. Security Acct Statements
RECOPLACT02,RE: Planning -Change Activity Input
RECOPLACT03,RE: Planning - Display Activ. Input
RECOPLACTCOPY,Copy Actual->Plan for Real Estate
RECOPLCFCOPY,Copy Cash Flow to CO Planning
RECOPLCST02,RE: Planning - Change CElem/Act.Inp.
RECOPLCST03,RE: Planning -Display CElem/Act.Inp.
RECOPLCSTLAY01,Create Cost Element Planning Layout
RECOPLCSTLAY02,Change Cost Element Planning Layout
RECOPLCSTLAY03,Display Cost Element Planning Layout
RECOPLKYF02,RE: Planning - Change Stat.Key Fig.
RECOPLKYF03,RE: Planning -Display Stat.Key Fig.
RECOPLKYFLAY01,Create Stat. KF Planning Layout
RECOPLKYFLAY02,Change Stat. KF Planning Layout
RECOPLKYFLAY03,Display Stat. KF Planning Layout
RECOPLLAYIMP,RE: Import Planning Layout
RECOPLLAYTR,RE: Transport Planning Layouts
RECOPLPLANCOPY,Copy Plan->Plan for Real Estate
RECOPLPRM02,RE: Planning - Change Prim.CostElem
RECOPLPRM03,RE: Planning -Display Prim.CostElem
RECOPLREV02,RE: Planning - Change Revenue Elems
RECOPLREV03,RE: Planning -Display Revenue Elems
RECOPLSESNG,Planned Settlement: RE Objects
RECOPLSEVAR,Plnd Collective Settlement: RE Obj.
RECOPLSU,RE: Cost Element Planning for SU
RECOSESNG,CO Settlement of Real Estate Objects
RECOSEVAR,RE: CO Collective Settlement
RECOSEVAR_MAINT_CN,Variant Maint.Contracts f.CO Settlmt
RECOSEVAR_MAINT_OBJ,Variant Maint. Obj.for CO Settlement
RECOSTKFBD,Transfer Measmt to Stat. Key Figure
RECOSTKFSU,Transfer Measmt to Stat. Key Figure
RECPA100,General Corresp.(Arch.Obj.)
RECPA110,Master Data Summary(Arch.Obj.)
RECPA120,General Correspondence (BE)
RECPA130,Master Data Summary (BE)
RECPA140,General Letter (Land)
RECPA150,Master Data Summary (Land)
RECPA160,General Correspondence (Buildings)
RECPA170,Master Data Summary (Buildings)
RECPA180,General Correspondence (RO)
RECPA190,Master Data Summary (Rental Object)
RECPA200,General Letter (Parcel)
RECPA210,Master Data Summary (Parcel)
RECPA220,General Letter (Parcel Update)
RECPA230,Master Data Summary (Parcel Update)
RECPA240,General Letter (Land Register)
RECPA250,Master Data Summary (Land Register)
RECPA260,General Letter (Public Register)
RECPA270,Master Data Summ. (Public Register)
RECPA280,General Letter (Notice of Assessmt)
RECPA290,Master Data Summ.(Notice of Assessmt
RECPA330,General Letter (RE Search Request)
RECPA340,Master Data Summary (RE Search Req.)
RECPA350,RE Search Request
RECPA360,General Letter (Contract Offer)
RECPA370,Master Data Summary (Contract Offer)
RECPA380,Contract Offer
RECPA390,Lease Abstract
RECPA400,General Correspondence
RECPA410,Master Data Summary
RECPA420,Contract Form
RECPA440,General Letter (Adjustment Measure)
RECPA460,Master Data Summary (Adj. Measure)
RECPA500,Contract Account Sheet
RECPA520,Invoice for Rent
RECPA550,Service Charge Settlement
RECPA560,COA Settlement
RECPA562,Annual Budget
RECPA564,Tenant Settlement
RECPA566,Statement of Reserve Fund
RECPA570,Sales-Based Settlement
RECPA580,Sales Report
RECPA590,Reminder of Missing Sales Reports
RECPA600,Adjustment
RECPA610,Approve Adjustment
RECPA620,Adjustment Approval Reminder
RECPA630,Notify About Adjustment
RECPA700,Notice/Confirmation of Notice
RECPDOC,Overview of Created Documents
RECPYA,Basic Settings and Doc. Templates
RECPYX,Supported Object Types
RECPZA,Basic Settings
RECPZE,Correspondence activities
RECPZF,Correspondence Applications
RECPZX,Supported Object Types
RECPZY,Supported Corresp.Applications
RECRWF,Customizing Workflow Recruitmnt Form
RECTHP01,IDE: Generation of FI Vendor Posting
RECTHP02,IDE: Generation of FI Vendor Posting
REDISND1,Create Electronic Bill
REDSLOADGEN,Generation of Program Loads
REDSRS01,Mass Syntax Check
REDSSCCC,Set Cost Collector to 'Settled'
REDSTAXBASEBUILD,Generate Tax Items to Be Distributed
REDSTBO01,Check Object Type Texts in TBO01
REEXACCSTGNDAT,Electr. Account Statement: Test Data
REEXACCSTGNTXT,Electr. Acct Statement: Gen. File
REEXACRCARRYFORWARD,Balance Carry Fwd for RE Accruals
REEXACRPOSTTRANSFER,Transfer of ACE Documents
REEXACRPPRV,Reverse Contracts Accruals/Deferrals
REEXACRSHOW,Display Accrual Objects
REEXAI02,AIS: Autom. Generated RE Documents
REEXCNTYPE,Approval for Contract Type
REEXFB05,RE: Post with Clearing
REEXFB1D,RE: Customer Clearing
REEXF_26,RE: Incoming Payment Fast Entry
REEXF_28,RE: Post Incoming Payment
REEXOUCOPY,Tables for Organizational Units
REEXOUCOPYEXCL,Tables to Be Excluded
REEXPL,Posting Log
REEXPOSTCC,Itemization for Settlement Units
REEXRESETCLEARPROC,Reset of Clearing Process
REEXSET,Edit Sets
REEXSETDEL,Delete Sets
REEXSETGENAO,Generation of Sets for Arch. Objects
REEXSETGENBD,Generate Sets for Usage Objects
REEXSETGENCN,Generate Sets for Contracts
REEXSETGENSU,Generate Sets for SU
REEXZA,Document Type Determination
REEXZB,Tax Code Assignment
REEXZC,Replace Account Symbols
REEXZD,Assignment of Tax Transaction Key
REEXZE,RE Dunning Areas
REEXZF,Assign. User/Role Cat./DunningParam.
REFINTRATES,Define Reference Interest Rate
REFRESH_CC_CACHE,Refresh Client Copy Cache
REFSITE,Reference site management
REFXCN_CALC,Daily Margin Calculation
REFXCN_CMPV,Contract version comparison
REFXCN_CMPVT,Contracts comparison in tab level
REFXCN_CNSD,Contract and Sales data Search
REFXCN_COND_ADJ,Condition Adjustment
REFXCN_COPV,Copy version to main contract
REFXCN_DELV,Delete contract version
REFXCN_DIVIDE,Coupon Apportionment Rule
REFXCN_IDOC,IDOC Inbound Data Maintenance
REFXCN_RETDATA,Retrieve data to RE system
REFXCN_SALES_EDIT,IDOC Inbound: Sales Data Maintenance
REFXCN_SARP,Sales Report Updating
REFXCN_SR,Sales Report Updating
REFXCN_STCN_SEARCH,Contract and Store Search
REGC0001,Applications
REGC0002,Field Groups
REGC0003,Views
REGC0004,Sections
REGC0005,Screens
REGC0006,Screen Sequences
REGC0007,Events
REGC0008,GUI Standard Functions
REGC0009,GUI Additional Functions
REGC0010,Matchcode
REGC0011,Assign Screen Field->DB Field
REGC0012,Field Modification Criteria
REGC0013,Role Categories
REGC0014,Role Cat. Groupings
REGC0016,Tables
REGC0017,External Applications
REGC0018,Activities
REGC0019,Field Modifictn per Actvty (Control)
REGC0022,Where-Used List: Structure
REGC0023,Data Sets
REGC0100,GC: Field Modification per Activity
REGC0102,Authorization Types
REGC0103,Field groups for authorization
REGC0104,Screen configuration
REGC0105,Field Modific. per Ext. Application
REGC0106,Assign object part --> Note ID
REGC0107,Where-used list: Views
REGM1,Task Frequencies
REGM2,Maintenance Task Type
REGM3,Task Attributes
REGT1,Regular Task Scheduling
REGT2,Regular Task Maintenance
REGTM4,obsolete
REGTM5,obsolete
REG_VIEWTASK,Regular Tasks Status Overview
REIPCUST,Display IMG Intelligent Real Estate
REIPIOCHECK,Mass Check: Integration Objects
REIPIONR,Number Range Maintenance: REIPIONR
REIPIOSYNCHRONIZE,Synchronize Integration Objects
REISACRITEM,Accrual/Deferral Records
REISAJAT,Info System: Measure Overview
REISAJATCOSTS,Info System: Measure Costs
REISAJATCOSTSCEA,Info System: CEA Costs
REISAJATEXPENSE,Info System: CEA Current Expenses
REISAJATFINPLAN,Info System: CEA Financing Plan
REISAJATOBJ,Info System: Measure Objects/Meas.
REISAJATPRESTAGE,InfoSystem: CEA Prestage Adjustments
REISALIT,Accruals/Deferrals
REISAO,Info System: Architectural Objects
REISAOCT,IS: Fixt./Fittings for Arch. Objects
REISAODT,Infosystem: Arch. Objs with Details
REISAOOA,Info System: Objects for AO
REISAOPO,Info System: Arch.Obj. - Cont.Occup.
REISBDCT,InfoSystem: Fixt/Fitt. f. MasterData
REISBDOA,Info System: Object Assignment
REISBE,Info System: Business Entities
REISBP,Info System: Objects for Partner
REISBPBD,Info System: Partner for Master Data
REISBU,Info System: Buildings
REISCDBD,Info System: Conditions for RO
REISCDBDAJ,Info System: Cond./Adjustment Rule
REISCDCF,Info System: Cash Flow
REISCDCFOBJ,Info System: Object Cash Flow Contr.
REISCDCFVAC,Info System: Vacancy Cash Flow
REISCDCN,Info System:Conditions for Contracts
REISCDCNAJ,Info System: Cond./Adjustment Rule
REISCEACCDET,Account Determination Customizing
REISCHGDOCBD,IS: Change documents for Master Data
REISCHGDOCCN,Info System: Contract Change Docs.
REISCN,Info System: Contracts
REISCNBP,IS: Business Partners of Contracts
REISCNDP,Infosystem: Security Dep. Agreements
REISCNMEMO,Information System: Contracts Memos
REISCNMS,Info System: Contract Measurements
REISCNNT,Infosystem: Notice on Contracts
REISCNNTRULE,Info System: Notice Rules
REISCNOA,Info System: Objects for Contracts
REISCNPE,Infosystem: Term of Contracts
REISCNRN,Infosystem: Renewal of Contracts
REISCNRNRULE,Info System: Renewal Rules
REISCOCSTACT,Costs/Revenue: Actuals Overview
REISCOCSTACTPLN,Costs/Revenue: Plan/Actual Comp.
REISCOCSTACTPRE,Costs/Rev: Comparison Actual PrevYr
REISCOCSTCMNT,Costs/Revenue: Commitment Overview
REISCOCSTPLN,Costs/Revenue: Plan Overview
REISCOLIBD,Master Data Line Items
REISCOLIBDN,Real Estate Objects - New Line Items
REISCOLICN,Line Items of Contracts
REISCOSKFACT,Stat. Key Figures: Actuals Overview
REISCOSKFACTPLN,Stat.Key Fig: Plan/Actual Comparison
REISCOSKFACTPRE,Stat.Key Fig: Compar. Actual PrevYr
REISCOSKFPLN,Stat. Key Figures: Plan Overview
REISFPCN,Info System: Frequency Parameter
REISITOR,Overview: Option Rates of RE Objects
REISITORCALC,Info System: Option Rate - Calcul.
REISJL,Info System: Joint Liability
REISLR,Info System: Land Registers
REISLRJL,Info System: Land Reg. - J.Liability
REISLRRG,InfoSystem: Land Reg. w/ RE Register
REISMM,Information System: Mandates
REISMMCAP,InfoSystem:Statement of Reserve Fund
REISMMCAPD,Info Syst: Reserve Fund Stmt Details
REISMP,Infosystem: Move Plans
REISMSAO,InfoSystem: Measurements f.Arch. Obj
REISMSBD,Infosystem: Measurements - Mast.Data
REISMSCN,Infosystem: Measurements - Contracts
REISNA,Info System: Notices of Assessment
REISNAMF,Info System: Not. of Assessmt - Muni
REISNAVL,InfoSystem: Assessmt Not.-AnnualVal.
REISOF,Info System: Contract Offer
REISOO,Info System: Offered Object
REISOOCTOR,IS: Fixt./Fittings for Offered Obj.
REISOOCTRS,IS: Fixt./Fittings for Reserv. Obj.
REISPE,Info System: Other Public Registers
REISPL,Information System: Parcels
REISPLCS,Info System: Contaminated Parcels
REISPLCT,Info System: Fixt./Fit. for Parcel
REISPLDB,InfoSystem: Benefits/Curtailments
REISPLDP,Info System: Parcels - Develop. Plan
REISPLER,Info System: Parcels - Easements
REISPLLR,InfoSystem: Land Registers f. Parcel
REISPLMS,Info System: Parcels - Measurements
REISPLOBJ,Info System: Objects for Parcels
REISPLP,Info System: Predecessor Parcels
REISPLPF,Info System: Area Analysis
REISPLS,Info System: Successor Parcels
REISPLSL,Info System: Cad. Classifications
REISPLUS,Info System: Usages of Parcels
REISPO,Info System: Continuous Occupancy
REISPOCAP,Info System: Cont. Occupancy List
REISPPCN,Info System: Posting Parameter
REISPR,Info System: Land
REISRADOCITEM,Item Overview
REISRC,Information System: Parcel Updates
REISREDOCCN,InfoSystem: RE Docs for Contracts
REISREP,Reports of Info System
REISREPPP,Parallel Processing of Reporting
REISREPTREE,Info System Report Tree
REISRO,Info System: Rental Objects
REISROAS,Rental Objects -Assessment Contracts
REISROOC,Info System: Occupancy of ROs
REISRR,Info System: RE Search Request
REISRS,Information System: Reservations
REISRSOBJ,Info System: Reservation Object
REISRSSRV,Services for Reservation
REISRSUSER,Info System: Reservations User
REISSQMAIN,Start SAP Query
REITDOSCHANGE,Change Date of Service
REITDS,Input Tax Distribution
REITDSOBJSHOW,Input Tax Distribution for Objects
REITDSRV,Reverse Input Tax Distribution
REITISTC,Overview of Correction Objects
REITORCALC,Option Rate Determin.: All Objects
REITORCALCDAILY,Option Rate Determin.: All Objects
REITORCALCSCS,Option Rate Determination for SCS
REITORSHOW,Option Rate Determ: Display Results
REITTC,Edit Correction Object
REITTC0001,TC: Applications
REITTC0002,TC: Field Groups
REITTC0003,TC: Views
REITTC0004,TC: Sections
REITTC0005,TC: Screens
REITTC0006,TC: Screen Sequences
REITTC0007,TC: Events
REITTC0008,TC: CUA Standard Functions
REITTC0009,TC: CUA Addit. Functions
REITTC0011,TC: Assgnmt Screen Field->DB Field
REITTC0012,TC: Field Modification Criteria
REITTC0016,TC: Tables
REITTC0017,TC: External Applications
REITTC0018,TC: Activities
REITTC0019,TC: Fld Mod. per Activity (Control)
REITTC0022,TC: Where-Used List: Structure
REITTC0100,TC: Fld Modification per Activity Cu
REITTC0102,TC: Authorization Types
REITTC0103,TC: Field Groups for Authorization
REITTC0104,TC: Screen Configuration
REITTC0105,TC: Fld Mod. per Ext. Application
REITTC0106,TC: Assignmt Object Part --> Memo ID
REITTC0107,TC: Where-Used List: Views
REITTCAR,Archive Rental Objects
REITTCARE,Display Correction Objects (Archive)
REITTCASSIGN,Assign Correction Objects
REITTCBASE,Overview of Input Tax Corr. Basis
REITTCCALC,Execute Input Tax Correction
REITTCCALCRV,Reverse Input Tax Correction
REITTCCALCSHOW,Overview of Input Tax Correction
REITTCCHECK,Mass Check: Correction Objects
REITTCCUST,Input Tax Correction IMG
REITTCID,Number Range Maint. Correction Obj.
REITTCNO,Number Range Maintenance: REITTC
REITTCPOST,InpTaxCorr: Manual Posting
REITTCRP,Change Pers. Resp.: Correction Obj.
REITXR,Display Planned Retirements
REITZA,Maintain Option Rate Methods
RELINVDOC,Call transaction MRBR from Portal
RELMJL,Process Joint Liability
RELMJLAR,Archive Joint Liabilities
RELMJLARE,Display Joint Liabilities (Archive)
RELMJLCHECK,Mass Check: Joint Liabilities
RELMJLRP,Change Pers.Resp: Joint Liabilities
